SMILES,FOM1_exp_100,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CCOCOCOCOCC,118.21226726863658,4.8969907407407405,4.8969907407407405,0.22222222222222232,0.22222222222222232,0.39536641307053766,10.363636363636363,164.201,148.07299999999998,164.104858992,68,0,0.1519542881733088,-0.3555996470566448,0.3555996470566448,0.1519542881733088,0.6363636363636364,1.0,1.3636363636363635,16.767598250843687,10.876012080297832,1.85702178194232,-2.0417698027719746,1.8098754082655744,-2.0640681484273324,4.084870159343319,-0.1670573138583124,2.0339309928768716,2.6909155266923976,59.460913376568676,8.36396103067893,7.16852706778819,7.16852706778819,5.414213562373096,3.7236146391315987,3.7236146391315987,1.7474002407106257,1.7474002407106257,0.9082482904638631,0.9082482904638631,0.4114847437072807,0.4114847437072807,-0.16,292.8860629742695,10.840000000000002,9.839999999999998,9.840000000000002,67.38308463223672,18.947451815200196,13.585884612199655,6.792942306099827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,18.947451815200196,0.0,0.0,0.0,0.0,13.847474399381248,33.59259084732532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.59259084732532,18.947451815200196,0.0,13.847474399381248,0.0,0.0,0.0,0.0,36.92,0.0,0.0,0.0,20.37882691829948,13.213763929025836,0.0,0.0,0.0,13.847474399381248,0.0,18.947451815200196,19.58631708238851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91368291761149,0.0,1.0,11,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,8,0,0,0,0,0,9.696872727272726,0,0.9651000000000001,40.02300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)OCCOCCOC(C)=O,103.23204208779768,10.274797921885314,10.274797921885314,0.23155234315948592,-0.33001299130763395,0.43975501615303964,9.384615384615385,190.195,176.08299999999997,190.084123548,76,0,0.30220730094685433,-0.4634225188186796,0.4634225188186796,0.30220730094685433,0.8461538461538461,1.2307692307692308,1.5384615384615385,16.57307641215371,10.672594260733137,1.9402323668872643,-2.037224095144011,1.8133760198471047,-2.117457674804884,5.656355597795518,-0.14342789251915972,2.0135356038424623,2.9961049979124525,147.91732137225364,10.104448006685086,7.8696685770655055,7.8696685770655055,6.125897657686229,3.971197119306978,3.971197119306978,2.2924591083488637,2.2924591083488637,1.0659922112859819,1.0659922112859819,0.5907040147123218,0.5907040147123218,-1.1,553.7222910566771,11.9,7.544022314808277,10.9,76.95752571721397,14.210588861400147,13.213763929025836,0.0,0.0,0.0,11.938610575903697,9.589074368143644,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,23.79966322954379,11.938610575903697,0.0,0.0,0.0,13.847474399381248,26.427527858051672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.36613843395537,23.79966322954379,0.0,13.847474399381248,0.0,0.0,0.0,0.0,61.830000000000005,0.0,9.589074368143644,0.0,25.152374504929533,13.213763929025836,0.0,13.847474399381248,0.0,0.0,9.473725907600098,4.736862953800049,14.17568672839506,0.0,20.549595843770625,0.0,0.0,-0.6600259826152677,0.0,0.0,3.7680767437829124,0.0,0.75,13,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,6,0,0,0,0,0,6.905681965093731,0,0.12919999999999998,44.08500000000002,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOCOCOCOCOCC,106.77471568905378,4.922335600907029,4.922335600907029,0.17274305555555558,0.17274305555555558,0.3823404255649405,10.615384615384615,194.22699999999998,176.08299999999997,194.115423676,80,0,0.15195694175995048,-0.35559964705641384,0.35559964705641384,0.15195694175995048,0.5384615384615384,0.8461538461538461,1.1538461538461537,16.788665631669847,10.877498296750053,1.8790923714955943,-2.057283192421535,1.8274317960210504,-2.083519887297725,4.088283148340915,-0.1900857505671084,2.1557102724831183,2.7581498184332935,78.60357147141794,9.778174593052025,8.283882139438601,8.283882139438601,6.414213562373096,4.300964908321225,4.300964908321225,2.0693755161403153,2.0693755161403153,1.0749149571305299,1.0749149571305299,0.5044309996781483,0.5044309996781483,-0.2,812.7027727261355,12.800000000000002,11.8,11.799999999999999,78.8615719761402,23.684314769000245,13.585884612199655,13.585884612199655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,23.684314769000245,0.0,0.0,0.0,0.0,13.847474399381248,40.38553315342514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.38553315342514,23.684314769000245,0.0,13.847474399381248,0.0,0.0,0.0,0.0,46.150000000000006,0.0,0.0,0.0,27.17176922439931,13.213763929025836,0.0,0.0,0.0,13.847474399381248,0.0,23.684314769000245,24.574721581929374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.925278418070626,0.0,1.0,13,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,10,0,0,0,0,0,11.618461538461542,0,0.9392,45.97500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)C1CCCCC1,87.418767146588,11.17587962962963,11.17587962962963,0.020555555555556104,0.020555555555556104,0.572362235900361,19.727272727272727,156.22499999999997,140.09699999999998,156.115029752,64,0,0.30841465533709006,-0.4657656863498713,0.4657656863498713,0.30841465533709006,1.3636363636363635,2.0,2.5454545454545454,16.532799927903266,9.893878278010769,2.20979457223162,-2.1867992048163027,2.238387800174045,-2.195448374828458,5.719104471000432,-0.14858720381291204,2.066172828612932,2.2652187436469213,125.52442279202945,8.104448006685086,7.136487537236638,7.136487537236638,5.342535255101096,4.509201921767763,4.509201921767763,3.0869821616491913,3.0869821616491913,2.225101514585491,2.225101514585491,1.5984009660410863,1.5984009660410863,-0.53,380.17580046477946,8.565510983763133,4.369018590889185,2.5237952602171454,67.92802411902383,4.736862953800049,0.0,0.0,0.0,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,19.26246486877803,19.765380445542643,0.0,12.52478801067431,9.53140013787187,5.9693052879518484,0.0,0.0,5.917906046161393,39.02784531432067,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.917906046161393,39.02784531432067,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.887211334113243,6.606881964512918,12.841643245852019,19.26246486877803,0.0,6.923737199690624,0.0,4.736862953800049,4.942407407407408,0.0,11.17587962962963,0.0,0.0,0.23231481481481486,0.0,5.764418225623583,2.3849799225245656,0.0,0.8888888888888888,11,0,2,1,0,1,0,0,0,0,0,0,2,0,2,0,2,1,0,1,0,0,3.4020797025933307,1,2.1298000000000004,43.20800000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCC(=O)c1ccccc1,101.07426140475562,11.244675925925925,11.244675925925925,0.24361111111111144,0.24361111111111144,0.6021153369839913,9.545454545454545,148.20499999999998,136.10899999999998,148.088815004,58,0,0.16236187177838105,-0.29419644810570195,0.29419644810570195,0.16236187177838105,1.2727272727272727,1.9090909090909092,2.4545454545454546,16.13803221620253,10.081744664624233,2.0050232448255265,-1.9562971480987963,2.032571110726234,-1.9592884542484228,5.953781414348626,0.0981527444568828,2.066172828612932,2.6930079504145,225.88790998034074,8.104448006685086,6.709213198785089,6.709213198785089,5.342535255101096,3.9254679195347126,3.9254679195347126,2.5392017389944486,2.5392017389944486,1.5728264163942953,1.5728264163942953,0.9954450044077813,0.9954450044077813,-1.11,380.17580046477946,7.991112234580385,3.9146420616231925,2.1874378032478785,67.05269367712717,0.0,0.0,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,37.255572541998674,6.4208216229260096,11.984273114623004,0.0,4.794537184071822,5.783244946364939,0.0,0.0,0.0,19.765380445542643,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,0.0,0.0,30.12336912131146,30.33183534230805,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,5.783244946364939,6.4208216229260096,11.984273114623004,0.0,0.0,37.255572541998674,0.0,0.0,0.0,0.0,11.244675925925925,0.0,0.8281018518518521,0.24361111111111144,9.42113000755858,1.5810922146636432,2.0147222222222223,0.0,0.3,11,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,0,0,0,0,2.8438494611490976,1,2.6694000000000013,45.68050000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCc1ccccc1,92.55756062724949,2.225138888888889,2.225138888888889,1.2334722222222223,1.2334722222222223,0.595730956091163,9.7,134.22199999999998,120.10999999999997,134.109550448,54,0,-0.027897295142604965,-0.06537107173169532,0.06537107173169532,0.027897295142604965,1.1,1.8,2.4,13.928094568255245,10.1005888271644,1.8687601891678696,-1.9589484955842624,2.025781075883172,-1.8110089866978982,5.138501418975808,0.7949849468755484,2.029573889867405,2.4265223465879537,164.65300142116237,7.234204518682008,6.508071689507773,6.508071689507773,4.931851652578137,3.971343774302781,3.971343774302781,2.5891519502467633,2.5891519502467633,1.6618298825622126,1.6618298825622126,1.0255780783709258,1.0255780783709258,-0.78,251.66716234355823,7.328459869848157,4.1024606217041155,2.218872016802184,62.89117157708339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.67639416492468,18.405094737549014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.186202068468653,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,25.328831937239638,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.825916360475023,0.0,0.0,37.255572541998674,0.0,0.0,0.0,0.0,0.0,1.4623611111111112,0.0,10.649555933484505,3.8296107331821614,2.225138888888889,0.0,0.4,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3.0064718033790934,1,3.0292000000000012,45.05400000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C1CC[C@H]2CCCC[C@H]2C1,77.1104048822996,1.5601851851851851,1.5601851851851851,1.1550925925925926,1.1550925925925926,0.4811931969340536,40.8,138.254,120.10999999999997,138.140850576,58,0,-0.03858457793998495,-0.05302166586531273,0.05302166586531273,0.03858457793998495,0.5,0.8,1.1,14.319766871069138,9.709527137905756,2.2629217019942205,-2.3473474271087644,2.3945515811820894,-2.2215950831374833,4.782737938129139,0.17104685420105176,2.0504144813943355,1.9253677344386608,80.60593781761291,6.811554787871634,6.811554787871632,6.811554787871632,4.9663264951887856,4.966326495188785,4.966326495188785,4.089073411524035,4.089073411524035,3.466326495188785,3.466326495188785,2.8575892353471586,2.8575892353471586,0.0,348.57046183703704,6.694214876033058,2.938775510204082,1.2098765432098766,64.01206775034056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,11.835812092322787,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,25.683286491704038,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310185185185185,0.0,12.356481481481481,0.0,0.0,1.0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1.9672794737729806,2,3.3668000000000022,43.91600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCC(C2CCCC2)C1,80.38288784654543,1.5601851851851851,1.5601851851851851,1.1550925925925923,1.1550925925925923,0.5208798588904004,30.0,138.254,120.10999999999997,138.140850576,58,0,-0.03858457793998495,-0.05302166586531273,0.05302166586531273,0.03858457793998495,0.5,0.8,1.1,14.31976687106915,9.897207366064722,2.262921701994219,-2.15721598717835,2.3945515811820925,-2.057079141302168,4.782737938129138,0.34722801608670906,2.591730966839183,1.8474671140063972,80.60593781761291,6.811554787871633,6.811554787871632,6.811554787871632,4.9663264951887856,4.9663264951887856,4.9663264951887856,4.089073411524035,4.089073411524035,3.4663264951887856,3.4663264951887856,2.857589235347159,2.857589235347159,0.0,497.61234563312314,6.694214876033058,2.938775510204082,1.2098765432098766,64.01206775034056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,11.835812092322787,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,25.683286491704038,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3101851851851847,0.0,12.356481481481481,0.0,0.0,1.0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1.9672794737729806,2,3.3668000000000022,43.91600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCC1CCCC1,91.33712101184678,2.2863572373393803,2.2863572373393803,1.1171759259259257,1.1171759259259257,0.521520997225693,20.1,140.26999999999998,120.10999999999997,140.15650064,60,0,-0.04142857745791716,-0.06538238183510822,0.06538238183510822,0.04142857745791716,1.1,1.8,2.4,14.187955573099254,10.00186281733752,2.1281065898937834,-2.0577317972689353,2.2840614774723558,-1.912584584829452,4.661542116949928,0.47148332757011074,2.4063799033869078,1.9111701105978576,70.10749561002055,7.234204518682008,7.234204518682008,7.234204518682008,4.931851652578137,4.931851652578136,4.931851652578136,3.6462643699419717,3.6462643699419717,2.6906706976806576,2.6906706976806576,1.9820508075688763,1.9820508075688763,0.0,310.4230075369111,8.1,4.760330578512397,2.7222222222222223,65.01789890386979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29031018309871,5.917906046161393,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,51.36657298340809,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,1.1171759259259257,0.0,11.929800170068027,2.2863572373393803,0.0,1.0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,3.8558677685950413,1,3.7569000000000026,46.10000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
CCCCC1CCCCC1,88.5443058661262,2.2944706632653062,2.2944706632653062,1.1052777777777776,1.1052777777777776,0.5596727748500233,21.3,140.26999999999998,120.10999999999997,140.15650064,60,0,-0.04142875124098035,-0.06538220962149477,0.06538220962149477,0.04142875124098035,1.1,1.8,2.4,14.170680486074309,9.857824704878308,2.1105493443446246,-2.2023181388859467,2.2686275302841996,-2.048373770336781,4.645127242480808,0.3312531191937517,2.029573889867405,2.0172372216570547,70.10749561002055,7.234204518682008,7.234204518682008,7.234204518682008,4.931851652578137,4.931851652578136,4.931851652578136,3.6462643699419712,3.6462643699419712,2.690670697680657,2.690670697680657,1.9686140808000383,1.9686140808000383,0.0,251.66716234355823,8.1,4.760330578512397,2.7222222222222223,65.01789890386979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29031018309871,5.917906046161393,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,51.36657298340809,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,1.1052777777777776,0.0,11.93358489229025,2.2944706632653062,0.0,1.0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,3.8558677685950413,1,3.7569000000000026,46.10000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
